en_name,ch_name,url,ranking,area
MSc in Education (Comparative and International Education),牛津大学教育（比较国际教育）理学硕士,/majr_50026,QS排名：4,社科 教育
MSc in Education (Higher Education),牛津大学教育（高等教育）理学硕士,/majr_50027,QS排名：4,社科 教育
MSc in Education (Research Design and Methodology),牛津大学教育（研究设计与方法论）理学硕士,/majr_50029,QS排名：4,社科 教育
MSc in Education (Digital and Social Change),牛津大学教育学（数字与社会变革）理学硕士,/majr_66792,QS排名：4,社科 教育
MSc in Criminology and Criminal Justice,牛津大学犯罪学和刑事司法理学硕士,/majr_62737,QS排名：4,社科 法律
Bachelor of Civil Law,牛津大学民法学士,/majr_66787,QS排名：4,社科 法律
Magister Juris,牛津大学普通法学硕士,/majr_66806,QS排名：4,社科 法律
MSc in Comparative Social Policy,牛津大学比较社会政策理学硕士,/majr_50046,QS排名：4,社科 社会学与社工
MSc in Sociology,牛津大学社会学理学硕士,/majr_50048,QS排名：4,社科 社会学与社工
MPhil in Sociology and Demography,牛津大学社会学和人口学哲学硕士,/majr_62840,QS排名：4,社科 社会学与社工
MSc in Contemporary Chinese Studies,牛津大学当代中国研究理学硕士,/majr_50021,QS排名：4,社科 国际关系
MSc in Migration Studies,牛津大学移民研究理学硕士,/majr_50035,QS排名：4,社科 国际关系
MSc in Refugee and Forced Migration Studies,牛津大学难民与强制移民研究理学硕士,/majr_50036,QS排名：4,社科 国际关系
MSc in Global Governance and Diplomacy,牛津大学全球治理与外交理学硕士,/majr_50038,QS排名：4,社科 国际关系
MSc in Political Theory Research,牛津大学政治理论研究理学硕士,/majr_50044,QS排名：4,社科 国际关系
MSc in Politics Research,牛津大学政治研究理学硕士,/majr_50045,QS排名：4,社科 国际关系
MSt in Diplomatic Studies,牛津大学外交研究硕士,/majr_62139,QS排名：4,社科 国际关系
MSt in Traditional China,牛津大学中国传统研究硕士,/majr_62144,QS排名：4,社科 国际关系
MSc in Japanese Studies,牛津大学日本研究理学硕士,/majr_62738,QS排名：4,社科 国际关系
MSc in Latin American Studies,牛津大学拉美研究理学硕士,/majr_62739,QS排名：4,社科 国际关系
MSc in Modern Middle Eastern Studies,牛津大学现代中东研究理学硕士,/majr_62740,QS排名：4,社科 国际关系
MSc in Modern South Asian Studies,牛津大学现代南亚研究理学硕士,/majr_62741,QS排名：4,社科 国际关系
MSc in Russian and East European Studies,牛津大学俄罗斯和东欧研究理学硕士,/majr_62742,QS排名：4,社科 国际关系
MSc in African Studies,牛津大学非洲研究理学硕士,/majr_62743,QS排名：4,社科 国际关系
MSt in Classical Armenian Studies,牛津大学传统亚美尼亚研究研究硕士,/majr_62746,QS排名：4,社科 国际关系
MSt in Oriental Studies,牛津大学东方研究研究硕士,/majr_62747,QS排名：4,社科 国际关系
MPhil in Development Studies,牛津大学发展研究哲学硕士,/majr_62828,QS排名：4,社科 国际关系
MPhil in International Relations,牛津大学国际关系哲学硕士,/majr_62836,QS排名：4,社科 国际关系
MPhil in Global and Area Studies,牛津大学全球与区域研究哲学硕士,/majr_66794,QS排名：4,社科 国际关系
MPhil in Politics (Comparative Government),牛津大学政治学哲学硕士（比较政府）,/majr_66812,QS排名：4,社科 国际关系
MPhil in Politics (European Politics and Society),牛津大学政治学哲学硕士（欧洲政治与社会）,/majr_66813,QS排名：4,社科 国际关系
MPhil in Politics (Political Theory),牛津大学政治学哲学硕士（政治理论）,/majr_66814,QS排名：4,社科 国际关系
MSt in Ancient Philosophy,牛津大学古代哲学研究硕士,/majr_62744,QS排名：4,社科 哲学
BPhil in Philosophy,牛津大学哲学硕士,/majr_66811,QS排名：4,社科 哲学
MSc in Environmental Change and Management,牛津大学环境变化与管理理学硕士,/majr_50032,QS排名：4,工科 环境工程
"MSc in Nature, Society and Environmental Governance",牛津大学自然、社会与环境统治理学硕士,/majr_50033,QS排名：4,工科 环境工程
"MSc in Water Science, Policy and Management",牛津大学水科学、政策与管理理学硕士,/majr_50034,QS排名：4,工科 环境工程
MSt in Global and Imperial History,牛津大学全球和帝国历史研究硕士,/majr_62754,QS排名：4,社科 历史
MSt in History,牛津大学历史学研究硕士,/majr_62755,QS排名：4,社科 历史
"MSc in History of Science, Medicine and Technology",牛津大学科学、医学和技术史理学硕士,/majr_62756,QS排名：4,社科 历史
MSc in Archaeology,牛津大学考古学理学硕士,/majr_62826,QS排名：4,社科 历史
MSt in Classical Archaeology,牛津大学古典考古学研究硕士,/majr_62827,QS排名：4,社科 历史
MSc in Archaeological Science,牛津大学考古科学理学硕士,/majr_66786,QS排名：4,社科 历史
MPhil in Cuneiform Studies,牛津大学楔形文字研究哲学硕士,/majr_66791,QS排名：4,社科 历史
Mphil in Egyptology,牛津大学埃及学哲学硕士,/majr_66793,QS排名：4,社科 历史
MSt in Greek and/or Roman History,牛津大学希腊和/或罗马历史学研究硕士,/majr_66797,QS排名：4,社科 历史
MSt in Late Antique and Byzantine Studies,牛津大学古代晚期与拜占庭研究研究硕士,/majr_66804,QS排名：4,社科 历史
MSt in Medieval Studies,牛津大学中世纪研究研究硕士,/majr_66807,QS排名：4,社科 历史
"MSc in Sustainability, Enterprise and the Environment",牛津大学可持续性、企业与环境理学硕士,/majr_66818,QS排名：4,工科 环境工程
MSc in Evidence-Based Social Intervention and Policy Evaluation,牛津大学基于证据的社会干预与政策评估理学硕士,/majr_50047,QS排名：4,社科 公共政策与事务
Master of Public Policy (MPP),牛津大学公共政策硕士,/majr_50052,QS排名：4,社科 公共政策与事务
MSc in Energy Systems,牛津大学能源系统理学硕士,/majr_62735,QS排名：4,工科 能源
Master of Business Administration (MBA),牛津大学工商管理硕士,/majr_62837,QS排名：4,商科 工商管理
MSc in Translational Health Sciences,牛津大学转化健康科学理学硕士,/majr_66820,QS排名：4,社科 公共卫生
MSc in Medical Anthropology,牛津大学医学人类学理学硕士,/majr_62736,QS排名：4,社科 医学
MSc in Global Health Science and Epidemiology,牛津大学全球健康科学与流行病学理学硕士,/majr_66795,QS排名：4,社科 医学
MSc in Integrated Immunology,牛津大学综合免疫学理学硕士,/majr_66798,QS排名：4,社科 医学
MSc in International Health and Tropical Medicine,牛津大学国际卫生与热带医学理学硕士,/majr_66799,QS排名：4,社科 医学
MSc in Modelling for Global Health,牛津大学全球健康建模理学硕士,/majr_66808,QS排名：4,社科 医学
MSc in Pharmacology,牛津大学药理学理学硕士,/majr_66810,QS排名：4,社科 医学
MSc in Genomic Medicine,牛津大学基因组医学理学硕士,/majr_67776,QS排名：4,社科 医学
MSc in Applied Linguistics and Second Language Acquisition,牛津大学应用语言学与第二语言习得理学硕士,/majr_50024,QS排名：4,社科 语言
Mphil in Traditional East Asia,牛津大学传统东亚哲学硕士,/majr_62145,QS排名：4,社科 语言
"MSt in Linguistics, Philology and Phonetics",牛津大学语言学、文字学和语音学研究硕士,/majr_62751,QS排名：4,社科 语言
MSt in Comparative Literature and Critical Translation,牛津大学比较文学和批判性翻译研究硕士,/majr_62752,QS排名：4,社科 语言
MSt in English (1550-1700),牛津大学1550-1700英语研究硕士,/majr_62830,QS排名：4,社科 语言
MSt in English (1700-1830),牛津大学1700-1830英语研究硕士,/majr_62831,QS排名：4,社科 语言
MSt in English (1830-1914),牛津大学1830-1914英语研究硕士,/majr_62832,QS排名：4,社科 语言
MSt in English (1900-Present),牛津大学1900-至今英语研究硕士,/majr_62833,QS排名：4,社科 语言
MSt in English (650-1550),牛津大学650-1550英语研究硕士,/majr_62834,QS排名：4,社科 语言
MPhil in English Studies (Medieval Period),牛津大学中世纪英语研究哲学硕士,/majr_62835,QS排名：4,社科 语言
MSt in Modern Languages,牛津大学现代语言研究硕士,/majr_62838,QS排名：4,社科 语言
MSt in Classical Hebrew Studies,牛津大学古典希伯来语研究研究硕士,/majr_66788,QS排名：4,社科 语言
MSt in Greek and/or Latin Languages and Literature,牛津大学希腊和/或拉丁语言与文学研究硕士,/majr_66796,QS排名：4,社科 语言
MSt in Slavonic Studies,牛津大学斯拉夫语研究研究硕士,/majr_66816,QS排名：4,社科 语言
MSt in Yiddish Studies,牛津大学意第绪语研究研究硕士,/majr_66821,QS排名：4,社科 语言
MSc in Digital Scholarship,牛津大学数字学术理学硕士,/majr_67775,QS排名：4,社科 传播
MSc in Theoretical and Computational Chemistry,牛津大学理论与计算化学理学硕士,/majr_50022,QS排名：4,理科 化学
"MSc in Biodiversity, Conservation and Management",牛津大学生物多样性、保护与管理理学硕士,/majr_50031,QS排名：4,理科 生物
MSc in Mathematical and Theoretical Physics,牛津大学数学与理论物理学理学硕士,/majr_50041,QS排名：4,理科 数学
MSc in Mathematical Modelling and Scientific Computing,牛津大学数学建模与科学计算理学硕士,/majr_50042,QS排名：4,理科 数学
MSc in Mathematics and Foundations of Computer Science,牛津大学数学与计算机科学基础理学硕士,/majr_50043,QS排名：4,理科 数学
MSc in Statistical Science,牛津大学统计科学理学硕士,/majr_50049,QS排名：4,理科 数学
MSc in Mathematical Sciences,牛津大学数学科学理学硕士,/majr_61322,QS排名：4,理科 数学
MSc in Social Data Science,牛津大学社会数据科学理学硕士,/majr_61323,QS排名：4,理科 数据科学
MSc in Cognitive and Evolutionary Anthropology,牛津大学认知与进化人类学理学硕士,/majr_62138,QS排名：4,社科 其他社科
Mphil in Modern Chinese Studies,牛津大学现代中文研究哲学硕士,/majr_62142,QS排名：4,社科 文化
MSc in Social Anthropology,牛津大学社会人类学理学硕士,/majr_62143,QS排名：4,社科 其他社科
"MSc in Visual, Material and Museum Anthropology",牛津大学视觉、材料与博物馆人类学理学硕士,/majr_62146,QS排名：4,社科 文化
"MSt in Women's, Gender, and Sexuality Studies",牛津大学女性、性别与性研究研究硕士,/majr_62147,QS排名：4,社科 其他社科
MSt in Film Aesthetics,牛津大学电影美学研究硕士,/majr_62308,QS排名：4,社科 影视
MSt in Philosophy of Physics,牛津大学物理学哲学研究硕士,/majr_62745,QS排名：4,理科 物理
MSt in Music (Composition),牛津大学音乐（作曲）研究硕士,/majr_62748,QS排名：4,社科 其他社科
MSt in Music (Musicology),牛津大学音乐（音乐学）研究硕士,/majr_62749,QS排名：4,社科 其他社科
MSt in Music (Performance),牛津大学音乐（表演）研究硕士,/majr_62750,QS排名：4,社科 其他社科
MSt in History of Art and Visual Culture,牛津大学艺术和视觉文化史研究硕士,/majr_62753,QS排名：4,社科 文化
MSt in English and American Studies,牛津大学英美研究研究硕士,/majr_62757,QS排名：4,社科 文化
MSt in World Literatures in English,牛津大学世界英文文学研究硕士,/majr_62758,QS排名：4,社科 文化
Master of Fine Art (MFA),牛津大学艺术硕士,/majr_62759,QS排名：4,社科 其他社科
MSc in Clinical Embryology,牛津大学临床胚胎学理学硕士,/majr_66790,QS排名：4,理科 生物
MSt in Islamic Art and Architecture,牛津大学伊斯兰艺术与建筑研究硕士,/majr_66800,QS排名：4,社科 其他社科
MSt in Jewish Studies,牛津大学犹太研究研究硕士,/majr_66801,QS排名：4,社科 其他社科
MSt in Jewish Studies in the Graeco-Roman Period,牛津大学希腊罗马时期犹太研究研究硕士,/majr_66802,QS排名：4,社科 其他社科
MSt in Korean Studies,牛津大学韩语研究研究硕士,/majr_66803,QS排名：4,社科 其他社科
MPhil in Tibetan and Himalayan Studies,牛津大学西藏与喜马拉雅研究哲学硕士,/majr_66819,QS排名：4,社科 文化
Master's Programs in Education,哈佛大学教育学硕士,/majr_71668,QS排名：5,社科 教育
"Ed.M. Education Policy and Analysis
Concentration: Literacy and Language",哈佛大学教育政策与分析 教育硕士，语言和读写方向,/majr_71689,QS排名：5,社科 教育
Master of Laws,哈佛大学法学硕士,/majr_65629,QS排名：5,社科 法律
MS in Environmental Health,哈佛大学环境卫生硕士,/majr_71923,QS排名：5,工科 环境工程
Master in Public Policy (MPP),哈佛大学公共政策硕士,/majr_65648,QS排名：5,社科 公共政策与事务
Master of Science in Data Science,哈佛大学数据科学硕士,/majr_65733,QS排名：5,理科 数据科学
Master of Science in Biostatistics,哈佛大学生物统计硕士,/majr_71702,QS排名：5,理科 数学
