school,applicant
南洋理工大学计算机控制和自动化,"中南大学, 自动化, 大四，GPA88.2，雅思8.0"
南洋理工大学计算机控制和自动化,"北京理工大学, 自动化, 已毕业，GPA86，雅思7.0"
南洋理工大学计算机控制和自动化,"南京师范大学, 电气工程及其自动化, 大四，GPA85.72，雅思6.5"
南洋理工大学通信工程,"北京科技大学, 通信工程, 大四，GPA88.2，雅思7.0"
南洋理工大学计算机控制和自动化,"华南理工大学, 自动化, 大四，GPA80.34，雅思6.5"
南洋理工大学计算机控制和自动化,"厦门大学, 材料科学, 已毕业，GPA86.17，雅思6.5"
南洋理工大学计算机控制和自动化,"东北大学, 自动化, 大四，GPA87.6，雅思6.5，GRE326"
南洋理工大学计算机控制和自动化,"北京工业大学, 机械工程, 大四，GPA89.36，雅思6.5"
南洋理工大学通信工程,"厦门大学, 电气工程及其自动化, 大四，GPA82.57，雅思6.5"
南洋理工大学通信工程,"哈尔滨工业大学（威海）, 光电科学与工程, 大四，GPA80.94，雅思6.5"
新加坡国立大学科技硕士软件工程方向,"武汉理工大学, 电子信息工程, 一年工作经验，GPA84.97，雅思6.5"
南洋理工大学通信工程,"中南大学, 自动化, 大四，GPA88.2，雅思8.0"
南洋理工大学通信工程,"北京工业大学, 机械工程, 大四，GPA89.36，雅思6.5"
南洋理工大学电力工程,"北京理工大学, 自动化, 已毕业，GPA86，雅思7.0"
新加坡国立大学科技硕士智能系统方向,"东北大学, 软件工程, 一年工作经验，GPA85，托福94"
新加坡国立大学科技硕士软件工程方向,"兰州大学, 数据科学与大数据技术, 大四，GPA93.29，托福105，GRE322"
新加坡国立大学科技硕士智能系统方向,"澳大利亚国立大学, 高级计算机, 已毕业，GPA5.58，免语言成绩"
新加坡国立大学科技硕士智能系统方向,"华东师范大学, 计算机, 大四，GPA3.15，雅思6.5"
新加坡国立大学科技硕士智能系统方向,"对外经济贸易大学, 信息管理与信息系统专业, 大四，GPA85.92，雅思7.5，GRE314"
新加坡国立大学科技硕士智能系统方向,"北京航空航天大学, 机械工程, 大四，GPA91，雅思7.5，GRE329"
新加坡国立大学科技硕士软件工程方向,"北京航空航天大学, 自动化, 一年工作经验，GPA3.62，托福104"
新加坡国立大学科技硕士智能系统方向,"暨南大学, 通信工程, 已毕业，GPA83.3，雅思6.5"
新加坡国立大学科技硕士智能系统方向,"同济大学, 软件工程, 大四，GPA87，雅思6.5"
新加坡国立大学科技硕士软件工程方向,"杭州电子科技大学, 软件工程, 大四，GPA84，雅思6.5"
新加坡国立大学科技硕士智能系统方向,"四川大学, 自动化, 已毕业，GPA82，雅思7.0"
