school,applicant
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"辽宁大学, 播音主持与艺术, 1年工作经验，GPA81，雅思6.5"
昆士兰大学国际经济与金融硕士,"江西财经大学, 会计学（国际会计）, 大四，GPA3.28，托福85"
悉尼大学经济学硕士,"南昌大学, 金融学, 已毕业，GPA87.1，雅思6"
莫纳什大学银行与金融学硕士,"西南财经大学, 投资学, 4年工作经验，GPA82.68，托福104"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"西南财经大学, 法学-会计双学位, 大四，GPA80.66"
悉尼大学商学硕士,"不列颠哥伦比亚大学, 地理, 应届，GPA75.3"
昆士兰大学经济学（1.5年）硕士,"四川大学, 土木工程（辅修金融）, 毕业1年，GPA84.7，雅思6.0"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"山东大学, 机械工程, 大四，GPA74.77"
昆士兰大学商业硕士,"广州商学院, 国贸, 已毕业，GPA85"
悉尼大学物流与供应链管理硕士,"山东大学, 市场营销, 大四，GPA84.5"
悉尼大学专业会计硕士,"山东大学, 机械工程, 大四，GPA74.77"
悉尼大学商学硕士,"山东大学, 机械工程, 大四，GPA74.77"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"西南交通大学, 经济学, 一年工作经验，GPA81.22，雅思6"
新南威尔士大学专业会计硕士,"中国人民大学, 会计学, 已毕业，GPA3.49，雅思6.5"
昆士兰大学国际经济与金融硕士,"皇家墨尔本理工大学, 经济金融, 已毕业，GPA73.19"
莫纳什大学专业会计硕士,"香港中文大学深圳, 金融, 大四，GPA2.7，雅思7.5，GMAT630"
悉尼大学商学硕士,"上海理工大学, 管理科学, 大四，GPA3.59，托福77，GRE305"
悉尼大学经济学硕士,"上海理工大学, 管理科学, 大四，GPA3.59，托福77，GRE305"
